nome_da_música,nome_do_artista,rank_de_todos_os_tempos,pontuação_da_faixa,reproduções_spotify,contagem_de_playlists_spotify,alcance_das_playlists_spotify,popularidade_no_spotify,contagem_playlists_apple_music,contagem_playlists_deezer,alcance_playlists_deezer
Last Night,Morgan Wallen,157,121.9,"922,010,059","107,189","61,174,155",79,106,7,"33,712"
Too Sweet,Hozier,158,121.2,"532,012,790","22,396","130,752,527",85,235,85,"25,307,005"
Bad Habits,Ed Sheeran,159,120.8,"1,754,311,538","271,758","62,218,811",74,454,352,"7,318,680"
QLONA,KAROL G,160,120.7,"850,810,162","56,104","79,334,561",82,72,57,"7,146,260"
Leave The Door Open,Bruno Mars,161,120.1,"1,312,168,384","248,793","50,068,571",75,308,120,"1,553,392"
good 4 u,Olivia Rodrigo,163,117.8,"2,167,768,056","309,421","72,787,213",79,355,98,"1,610,293"
bad guy,Billie Eilish,164,117.7,"2,516,804,300","296,739","113,315,017",76,432,258,"3,123,258"
Seï¿½ï¿½o,Shawn Mendes,165,117.6,"2,738,293,818","251,033","108,433,327",74,380,570,"2,693,006"
DESPECHï¿,ROSALï¿½,166,116.9,"1,003,487,432","126,402","88,024,543",73,152,105,"6,388,819"
ROCKSTAR (feat. Roddy Ricch),DaBaby,167,116.7,"1,638,836,101","272,933","50,425,049",70,216,98,"1,699,879"
Eyes Closed,Ed Sheeran,168,116.6,"372,423,476","44,730","21,933,393",71,132,32,"1,018,314"
I Remember Everything (feat. Kacey Musgraves),Zach Bryan,169,116.5,"630,373,315","70,400","105,320,547",84,95,47,"9,094,602"
Circles,Post Malone,170,116,"2,481,391,466","332,437","124,491,320",80,355,311,"1,603,280"
EL AMOR DE SU VIDA,Grupo Frontera,171,115.9,"474,590,289","24,891","25,915,889",78,27,22,"2,762,020"
About Damn Time,Lizzo,172,115.6,"847,025,688","104,052","47,808,065",66,215,143,"1,456,203"
Closer,The Chainsmokers,173,114.6,"2,880,536,961","285,381","129,399,627",80,385,284,"838,570"
FLOWER,JISOO,174,114.3,"440,364,356","26,107","15,314,737",70,33,6,"26,844"
PERRO NEGRO,Bad Bunny,175,114.2,"689,181,455","61,138","90,492,257",83,67,51,"13,729,294"
Havana (feat. Young Thug),Camila Cabello,177,112.8,"2,072,182,782","194,332","86,159,672",75,342,541,"1,593,590"
LUNA,Feid,178,112.6,"606,124,553","40,628","139,802,900",86,80,64,"14,011,480"
I Like You (A Happier Song) (with Doja Cat),Post Malone,179,112.5,"827,950,825","118,965","64,661,540",73,83,43,"3,276,564"
Bones,Imagine Dragons,180,112,"1,227,475,431","180,053","70,861,210",78,94,47,"1,718,874"
Segï¿½ï¿½n Qu,Maluma,182,111.8,"571,366,508","32,236","42,828,677",79,50,60,"10,199,675"
golden hour,JVKE,183,111.4,"1,126,986,320","200,887","45,885,823",73,77,22,"379,311"
Levitating (feat. DaBaby),Dua Lipa,184,111.3,"2,074,721,986","255,296","109,442,317",77,388,250,"2,098,761"
Get It Sexyy,Sexyy Red,185,111.1,"89,362,910","7,377","70,714,216",84,52,4,"57,534"
"\"This Wish - From \"\"Wish\"\"\"",Ariana DeBose,186,110.9,"26,674,909","2,673","8,562,091",19,36,4,"81,296"
Ojitos Lindos,Bad Bunny,188,110.7,"1,421,763,497","152,592","62,313,059",78,91,42,"6,938,988"
Life Is Good (feat. Drake),Future,189,110.2,"1,237,874,594","276,882","51,153,940",67,187,95,"487,631"
Escapism.,RAYE,190,110.1,"804,925,777","128,247","62,532,855",75,138,65,"8,982,560"
Stargazing,Myles Smith,191,109.8,"106,599,323","9,406","164,949,597",87,120,93,"14,817,504"
Jimmy Cooks (feat. 21 Savage),Drake,192,109.7,"971,473,231","239,671","77,479,207",78,110,18,"314,003"
What You Know Bout Love,Pop Smoke,193,109.5,"1,125,681,368","251,023","32,574,699",72,119,21,"94,686"
Memories,Maroon 5,194,109.3,"2,011,072,164","222,804","49,920,599",77,268,445,"1,033,541"
Classy 101,Feid,195,109.1,"872,148,396","90,726","70,485,920",78,94,50,"12,249,404"
Whatever,Kygo,196,109,"222,354,971","17,551","159,961,203",83,111,171,"32,320,584"
Whatever She Wants,Bryson Tiller,197,108.4,"207,093,873","23,181","114,051,028",87,61,31,"1,483,573"
Vois sur ton chemin - Techno Mix,BENNETT,198,107.8,"361,517,395","119,783","95,312,340",80,56,52,"4,459,149"
Without Me,Halsey,200,107.4,"2,042,792,456","198,888","69,311,277",75,180,69,"646,681"
Shallow,Lady Gaga,204,106.9,"2,447,973,078","221,822","90,174,192",78,261,158,"1,551,217"
Thunder,Imagine Dragons,203,106.9,"2,384,768,901","244,951","88,329,475",79,225,226,"1,148,532"
Rush,Ayra Starr,205,106.4,"371,886,608","98,009","19,411,516",67,162,47,"2,772,886"
abcdefu,GAYLE,206,106.2,"1,128,273,165","193,857","61,311,826",70,209,79,"4,946,332"
Buga,Kizz Daniel,208,105.8,"86,516,910","30,835","3,440,925",57,51,9,"580,760"
Bad Habit,Steve Lacy,207,105.8,"1,087,938,471","220,515","63,054,597",73,132,69,"3,999,785"
MONEY,LISA,210,105.5,"1,189,335,848","103,236","33,637,835",73,54,29,"484,446"
Columbia,Quevedo,209,105.5,"721,002,940","84,161","56,226,278",79,47,39,"1,537,049"
LADY GAGA,Peso Pluma,212,105.2,"684,204,777","48,370","25,130,304",78,51,22,"13,901,598"
Woman,Doja Cat,211,105.2,"1,606,950,381","217,443","95,985,096",78,217,84,"3,363,038"
CUFF IT,Beyoncï¿,213,104.9,"795,960,535","100,204","68,659,216",73,182,108,"3,025,424"
KING KONG,TREASURE,214,104.5,"8,078,265",207,"12,311,489",68,10,5,572
How You Like That,BLACKPINK,215,104.5,"1,033,109,188","82,170","21,177,170",68,96,34,"130,559"
Nasty,Tinashe,217,104.4,"31,612,906","3,887","106,475,497",76,38,3,"153,459"
Superhero (Heroes & Villains),Metro Boomin,218,104.4,"706,356,280","166,277","62,975,073",77,56,13,"1,040,628"
Panda,Desiigner,219,104.2,"1,181,348,550","170,002","34,000,497",62,245,63,"559,832"
Tattoo,Loreen,221,103.9,"518,846,340","83,033","48,268,736",77,113,66,"2,861,624"
Kiss Me More (feat. SZA),Doja Cat,222,103.4,"1,823,871,908","262,313","116,916,147",76,470,129,"1,850,223"
What It Is (Block Boy) (with Kodak Black),Doechii,223,103.3,"102,772,879","29,487","4,775,168",61,29,7,"265,913"
Illusion,Dua Lipa,225,103.1,"108,501,771","7,430","117,576,704",12,113,74,"4,720,248"
drivers license,Olivia Rodrigo,226,102.9,"2,184,754,018","250,778","70,173,770",79,347,214,"1,182,092"
Used To Be Young,Miley Cyrus,227,102.4,"205,468,104","30,639","39,407,660",69,97,64,"1,571,733"
Cupid - Twin Ver.,FIFTY FIFTY,229,102.3,"861,388,470","103,040","37,365,896",48,110,34,"336,049"
How Sweet,NewJeans,228,102.3,"33,595,707","1,940","36,883,184",79,58,8,"835,757"
Players,Coi Leray,230,101.8,"465,588,517","91,658","60,607,887",67,110,42,"843,815"
rockstar (feat. 21 Savage),Post Malone,231,101.8,"2,960,046,642","352,745","82,442,565",77,235,122,"715,708"
Con Calma,Daddy Yankee,236,101.4,"1,353,028,938","160,122","52,701,166",73,184,87,"1,544,771"
Here With Me,d4vd,234,101.4,"1,042,311,849","154,178","58,833,842",80,79,48,"636,981"
Favorite Song,Toosii,235,101.4,"186,579,651","45,668","6,252,506",62,43,4,"290,227"
Si No Quieres No,Luis R Conriquez,233,101.4,"158,131,138","5,423","71,590,238",85,34,8,"2,319,237"
MONTERO (Call Me By Your Name),Lil Nas X,238,100.8,"1,902,241,314","316,054","50,751,390",70,310,112,"2,516,760"
Si No Estï¿½,iï¿½ï¿½igo quin,241,100.1,"665,716,137","97,057","33,252,792",80,33,51,"27,583,086"
Glimpse of Us,Joji,242,99.8,"1,262,308,912","234,936","83,890,841",74,97,40,"2,380,981"
Watermelon Sugar,Harry Styles,243,99.7,"2,708,151,499","298,135","159,003,869",82,554,557,"4,404,589"
Corazï¿½ï¿½n de Pi,Xavi,244,98.8,"172,164,034","5,517","48,983,734",82,11,7,"2,124,457"
Praise Jah In The Moonlight,YG Marley,245,98.5,"298,853,393","50,137","43,508,958",70,63,43,"5,691,935"
WHERE SHE GOES,Bad Bunny,246,98.4,"717,849,037","98,440","37,797,217",72,126,35,"1,416,698"
Yandel 150,Yandel,247,98.1,"837,576,264","102,545","38,825,844",70,60,39,"5,582,630"
THATS WHAT I WANT,Lil Nas X,248,98,"1,062,095,453","165,197","75,503,476",72,156,83,"2,949,606"
Todo De Ti,Rauw Alejandro,249,98,"1,339,352,060","188,874","76,063,128",75,208,68,"4,468,373"
Chemical,Post Malone,250,97.6,"503,574,147","79,679","43,648,353",75,94,35,"564,291"
See You Again (feat. Charlie Puth),Wiz Khalifa,251,97.6,"1,891,920,348","159,571","73,641,738",78,137,8,"16,367"
Drip Too Hard (Lil Baby & Gunna),Lil Baby,252,97.5,"1,486,929,795","266,128","52,476,635",76,147,48,"263,627"
Uptown Funk,Mark Ronson,254,97.1,"1,993,030,264","256,764","149,909,699",77,507,308,"2,956,482"
love nwantiti (ah ah ah),CKay,256,96.9,"853,451,422","172,458","43,607,688",71,77,51,"1,474,677"
Mi Gente,J Balvin,257,96.4,"1,478,442,472","189,504","45,240,294",69,291,98,"937,524"
Late Night Talking,Harry Styles,258,96.4,"959,639,297","108,806","62,563,751",76,153,96,"9,426,291"
Miss You,Oliver Tree,261,96.2,"631,378,937","165,883","38,563,849",51,75,49,"893,762"
Dakiti,Bad Bunny,262,96.1,"1,977,947,460","245,685","56,430,031",72,265,97,"3,921,489"
Starboy,The Weeknd,265,95.7,"3,291,262,413","366,133","98,022,646",84,341,118,"875,683"
Sorry,Justin Bieber,264,95.7,"2,089,476,497","179,545","89,286,647",78,401,161,"1,631,997"
Calling My Phone,Lil Tjay,263,95.7,"777,064,903","213,153","29,437,172",71,118,33,"263,058"
Pink Venom,BLACKPINK,266,95.6,"736,469,450","48,251","22,817,940",68,43,20,"202,141"
I Can Do It With a Broken Heart,Taylor Swift,267,95,"250,430,303","7,079","134,357,870",84,72,37,"8,927,842"
death bed (coffee for your head),Powfu,268,94.8,"1,656,385,770","283,938","62,191,957",74,219,119,"6,994,461"
Too Many Nights (feat. Don Toliver & with Future),Metro Boomin,269,94.5,"682,837,690","155,771","28,629,209",80,56,4,"5,523"
MELTDOWN (feat. Drake),Travis Scott,270,94.3,"347,647,880","106,908","29,964,622",74,57,23,"327,684"
Moscow Mule,Bad Bunny,272,94.1,"1,108,031,580","121,256","44,739,826",77,104,30,"7,198,424"
Something Just Like This,The Chainsmokers,273,94,"2,596,644,721","278,237","128,709,855",82,315,420,"1,634,441"
7 rings,Ariana Grande,274,93.9,"2,262,490,403","179,865","89,518,199",77,220,87,"1,044,537"
Moonlight,Kali Uchis,275,93.1,"701,558,859","110,539","46,729,655",74,67,43,"1,632,541"
Savage Love (Laxed - Siren Beat),Jawsh 685,276,93.1,"1,118,038,333","142,905","27,025,973",67,198,209,"2,246,210"
God's Plan,Drake,278,92.9,"2,529,948,475","313,741","79,266,167",77,226,103,"898,454"
Sunroof,Nicky Youre,279,92.3,"879,708,559","44,652","23,104,189",12,2,1,"11,899"
La Vï¿½ï¿½c,Xavi,280,92,"521,116,293","24,734","22,828,160",81,18,20,"14,503,583"
MY EYES,Travis Scott,281,91.9,"403,132,906","103,255","13,549,357",78,37,12,"403,386"
WORK,ATEEZ,282,91.7,"10,135,326",678,"14,542,753",31,13,7,"18,929"
Despacito - Remix,Luis Fonsi,284,91.5,"1,713,294,983","134,700","39,604,784",65,268,91,"820,925"
Ghost,Justin Bieber,283,91.5,"1,586,830,204","151,923","73,574,395",80,119,114,"303,462"
Dior,Pop Smoke,285,91.4,"1,070,422,470","294,539","47,391,658",72,132,38,"316,666"
Una Noche en Medellï¿½,Cris Mj,288,90.7,"839,405,565","107,431","27,444,811",75,41,19,"1,780,823"
SAD!,XXXTENTACION,289,90.5,"2,218,531,106","263,801","60,437,070",75,77,45,"409,497"
Primera Cita,Carin Leon,290,90.5,"598,006,591","35,842","34,735,524",80,32,25,"9,487,462"
